"","e1","e2","e4","e5","e6","e9","e10","e11","e15","e18","e21","e22","e23"
"1",76,86,90,83,81,89,77,87,87,85,76,78,83
"2",100,100,100,97,97,100,99,100,98,94,100,93,87
"3",100,100,100,100,100,NA,100,100,100,98,98,32,29
"4",100,85,97,87,86,100,100,100,100,100,82,70,96
"5",70,69,84,88,86,56,57,62,80,71,76,92,84
"6",100,100,100,100,100,100,100,100,100,100,100,81,61
"7",100,100,100,82,100,100,100,100,70,99,99,69,100
"8",97,84,100,100,100,96,96,88,100,100,92,98,90
"9",100,100,100,100,100,100,100,100,100,100,100,100,100
"10",94,80,94,91,90,56,54,70,72,61,NA,58,74
"11",100,100,100,93,84,100,100,100,73,89,97,82,96
"12",100,100,100,100,100,100,100,100,100,100,97,100,95
"13",100,100,100,100,100,100,100,100,28,100,100,54,100
"14",100,100,100,62,54,100,100,66,72,100,68,59,100
"15",100,92,86,64,70,83,82,77,76,70,72,63,63
"16",78,79,99,78,89,100,100,100,70,87,99,42,88
"17",60,83,84,40,83,87,73,96,69,83,58,NA,82
"18",87,82,85,79,77,98,78,80,71,78,66,84,64
"19",96,91,61,83,56,88,65,57,63,65,78,67,70
"20",51,49,84,51,78,50,51,50,38,83,50,30,73
"21",78,82,83,57,60,84,58,77,85,66,64,71,92
"22",100,100,100,76,84,100,100,81,66,84,90,61,85
"23",98,51,97,97,98,99,98,97,98,92,98,96,97
"24",95,95,97,89,85,98,94,90,91,95,89,65,85
"25",79,96,98,99,100,100,93,100,100,99,97,95,100
"26",92,91,94,77,85,90,91,84,92,88,87,91,84
"27",54,52,54,89,85,69,75,76,79,80,50,51,50
"28",66,77,56,53,53,78,81,87,66,83,76,63,50
"29",98,100,100,100,100,100,100,100,94,52,100,100,72
"30",91,94,85,79,83,100,100,100,96,100,91,52,86
"31",100,100,NA,92,89,100,42,100,NA,90,100,1,66
"32",73,81,82,74,80,85,87,83,87,85,82,78,73
"33",100,100,100,32,100,82,67,71,70,65,80,21,73
"34",95,93,87,99,95,100,95,96,91,98,95,100,82
"35",82,100,84,79,83,94,97,95,95,94,71,88,80
"36",100,100,100,71,73,100,100,70,1,100,77,1,63
"37",75,100,95,94,97,100,100,100,78,100,83,50,41
"38",100,94,100,100,100,100,100,100,100,94,92,92,87
"39",94,96,96,93,97,99,94,80,76,91,93,100,68
"40",97,100,100,90,94,100,100,100,50,96,91,20,45
"41",80,85,84,81,83,83,78,78,81,83,59,49,53
"42",100,100,100,56,50,50,50,51,59,72,100,50,23
"43",100,100,100,54,92,100,91,76,84,96,93,91,100
"44",38,51,51,43,50,100,100,100,2,NA,46,85,67
"45",98,100,100,88,100,98,99,98,78,72,100,99,94
"46",98,96,83,95,91,97,96,94,88,96,93,36,92
"47",88,71,76,80,69,NA,100,98,83,53,35,54,38
"48",78,62,74,63,64,56,49,55,61,63,81,54,60
"49",75,50,56,72,71,72,76,68,50,71,65,72,59
"50",87,85,87,92,94,88,89,88,92,85,91,66,76
"51",64,66,61,64,63,71,64,69,77,62,67,57,55
"52",95,97,97,87,94,99,88,90,88,96,86,78,81
"53",64,81,76,100,100,100,100,100,65,100,100,25,100
"54",100,100,100,33,30,100,94,71,50,88,88,67,54
"55",96,79,96,89,100,98,99,98,89,83,100,100,95
"56",82,63,70,54,55,81,76,78,65,72,71,61,68
"57",100,100,100,71,59,100,100,100,57,79,73,81,74
"58",84,77,78,81,78,73,70,67,80,63,46,54,61
"59",100,100,100,100,100,100,100,100,100,100,100,81,100
"60",83,72,81,86,74,89,82,75,81,75,68,87,71
"61",100,100,100,87,73,94,41,59,91,94,100,89,100
"62",100,96,100,89,96,100,100,100,91,100,84,71,100
"63",100,100,100,100,100,100,100,100,100,100,85,63,100
"64",100,100,100,78,80,89,73,73,77,100,85,92,97
"65",99,99,99,98,98,99,99,99,85,98,99,83,97
"66",100,100,100,90,83,100,96,77,65,87,54,89,100
"67",100,100,100,73,68,76,57,58,24,81,100,29,72
"68",77,80,81,87,99,100,50,82,84,100,50,61,82
"69",100,95,100,94,68,100,100,88,96,91,93,97,97
"70",100,100,100,89,89,97,78,93,90,97,97,77,98
"71",93,100,100,92,89,100,92,94,91,100,93,89,83
"72",54,55,53,56,56,59,59,56,60,56,60,56,53
"73",65,65,66,51,53,53,53,64,55,66,53,51,73
"74",92,95,93,79,81,76,75,63,72,74,71,NA,68
"75",100,100,100,100,100,100,84,100,83,100,100,77,75
"76",93,100,96,94,100,100,72,69,97,95,92,63,80
"77",95,100,100,76,78,100,100,100,95,100,77,77,87
"78",100,100,100,80,99,100,100,100,100,100,100,100,100
"79",71,85,90,73,76,95,99,91,75,83,80,33,88
"80",100,100,99,100,100,100,82,87,100,100,100,100,57
"81",99,82,75,60,69,80,62,77,67,84,64,77,49
"82",97,98,97,95,88,96,87,93,79,95,91,NA,55
"83",98,96,97,85,77,98,100,89,92,92,94,80,86
"84",90,90,91,96,95,100,100,100,96,94,92,97,97
"85",68,77,64,66,61,73,66,69,55,57,NA,NA,44
"86",99,100,100,100,100,100,100,100,100,100,100,87,33
"87",96,96,98,97,98,96,97,97,96,97,97,97,41
"88",85,93,98,79,79,98,89,88,83,78,77,50,66
"89",75,81,78,64,61,96,91,82,79,96,88,60,61
"90",100,99,100,95,92,100,98,98,95,98,95,95,98
"91",97,96,93,85,88,100,100,95,90,90,88,50,87
"92",83,90,100,84,90,100,83,98,83,100,NA,84,100
"93",NA,NA,NA,99,81,100,85,81,58,100,89,NA,77
"94",99,100,100,100,100,100,100,98,100,100,100,100,100
"95",91,93,67,66,50,50,83,50,50,50,50,63,61
"96",98,97,97,95,95,99,99,98,89,92,89,76,84
"97",63,63,67,59,56,60,71,61,60,61,67,65,69
"98",100,100,100,100,100,100,33,94,86,100,100,2,74
"99",62,55,62,55,60,66,61,59,58,56,61,56,88
"100",78,64,77,70,66,65,71,64,76,59,61,63,58
"101",93,92,92,84,88,88,94,93,91,92,90,87,90
"102",88,71,72,47,48,65,66,57,32,39,56,66,26
"103",91,85,84,77,77,100,97,75,73,100,69,64,75
"104",96,88,94,30,63,77,79,73,78,79,83,52,85
"105",72,100,93,77,55,97,93,95,74,92,42,91,89
"106",100,100,100,100,100,100,100,100,100,100,100,50,100
"107",100,98,100,99,99,100,100,100,100,99,100,99,100
"108",100,100,100,78,100,94,77,92,5,100,68,29,90
"109",94,96,94,30,30,82,NA,66,NA,85,91,51,3
"110",100,100,100,100,91,100,96,92,99,100,96,100,100
"111",96,96,95,87,89,88,97,89,92,89,94,93,94
"112",100,100,100,100,100,100,100,100,47,100,100,100,79
"113",100,100,100,100,100,100,100,100,100,100,100,100,100
"114",77,77,80,56,62,86,84,88,62,46,73,43,51
"115",100,100,100,100,100,100,100,100,87,100,100,100,100
"116",77,88,93,57,62,88,53,64,82,42,75,37,36
"117",43,100,100,73,81,NA,NA,100,NA,NA,NA,NA,65
"118",69,65,67,71,73,73,67,70,71,61,51,59,73
"119",99,95,100,100,100,100,93,97,98,100,96,86,97
"120",89,76,91,65,70,100,97,98,68,30,87,67,85
"121",85,100,92,88,87,100,85,100,84,82,95,66,51
"122",91,100,100,94,100,100,100,100,97,100,90,87,96
"123",89,83,84,41,66,77,73,77,73,76,64,53,57
"124",100,100,100,73,47,100,100,100,82,100,93,45,94
"125",61,NA,73,70,81,100,100,99,75,77,66,69,73
"126",89,93,83,77,74,87,86,83,77,79,70,82,82
"127",100,100,94,61,60,59,81,51,90,78,100,51,93
"128",100,100,100,55,65,91,63,67,61,90,87,70,72
"129",100,100,100,100,100,100,100,100,100,100,100,100,100
"130",82,77,100,91,100,84,100,92,100,100,89,100,90
"131",94,100,100,91,100,100,100,100,96,100,95,100,90
"132",94,97,95,80,95,100,100,88,100,100,82,94,87
"133",100,100,100,91,93,100,99,100,88,100,84,96,96
